,country,region1,region2,continent
0,Afghanistan,Southern Asia,,Asia
1,Åland Islands,Northern Europe,,Europe
2,Albania,Southern Europe,,Europe
3,Algeria,Northern Africa,,Africa
4,American Samoa,Polynesia,,Oceania
5,Andorra,Southern Europe,,Europe
6,Angola,Middle Africa,Sub-Saharan Africa,Africa
7,Anguilla,Caribbean,Latin America and the Caribbean,North America
8,Antarctica,Antarctica,,Antarctica
9,Antigua and Barbuda,Caribbean,Latin America and the Caribbean,North America
10,Argentina,South America,Latin America and the Caribbean,South America
11,Armenia,Western Asia,,Asia
12,Aruba,Caribbean,Latin America and the Caribbean,North America
13,Australia,Australia and New Zealand,,Oceania
14,Austria,Western Europe,,Europe
15,Azerbaijan,Western Asia,,Asia
16,Bahamas,Caribbean,Latin America and the Caribbean,North America
17,Bahrain,Western Asia,,Asia
18,Bangladesh,Southern Asia,,Asia
19,Barbados,Caribbean,Latin America and the Caribbean,North America
20,Belarus,Eastern Europe,,Europe
21,Belgium,Western Europe,,Europe
22,Belize,Central America,Latin America and the Caribbean,North America
23,Benin,Western Africa,Sub-Saharan Africa,Africa
24,Bermuda,Northern America,,North America
25,Bhutan,Southern Asia,,Asia
26,Bolivia (Plurinational State of),South America,Latin America and the Caribbean,South America
27,"Bonaire, Sint Eustatius and Saba",Caribbean,Latin America and the Caribbean,North America
28,Bosnia and Herzegovina,Southern Europe,,Europe
29,Botswana,Southern Africa,Sub-Saharan Africa,Africa
30,Bouvet Island,South America,Latin America and the Caribbean,South America
31,Brazil,South America,Latin America and the Caribbean,South America
32,British Indian Ocean Territory,Eastern Africa,Sub-Saharan Africa,Africa
33,British Virgin Islands,Caribbean,Latin America and the Caribbean,North America
34,Brunei Darussalam,South-eastern Asia,,Asia
35,Bulgaria,Eastern Europe,,Europe
36,Burkina Faso,Western Africa,Sub-Saharan Africa,Africa
37,Burundi,Eastern Africa,Sub-Saharan Africa,Africa
38,Cabo Verde,Western Africa,Sub-Saharan Africa,Africa
39,Cambodia,South-eastern Asia,,Asia
40,Cameroon,Middle Africa,Sub-Saharan Africa,Africa
41,Canada,Northern America,,North America
42,Cayman Islands,Caribbean,Latin America and the Caribbean,North America
43,Central African Republic,Middle Africa,Sub-Saharan Africa,Africa
44,Chad,Middle Africa,Sub-Saharan Africa,Africa
45,Chile,South America,Latin America and the Caribbean,South America
46,China,Eastern Asia,,Asia
47,"China, Hong Kong Special Administrative Region",Eastern Asia,,Asia
48,"China, Macao Special Administrative Region",Eastern Asia,,Asia
49,Christmas Island,Australia and New Zealand,,Oceania
50,Cocos (Keeling) Islands,Australia and New Zealand,,Oceania
51,Colombia,South America,Latin America and the Caribbean,South America
52,Comoros,Eastern Africa,Sub-Saharan Africa,Africa
53,Congo,Middle Africa,Sub-Saharan Africa,Africa
54,Cook Islands,Polynesia,,Oceania
55,Costa Rica,Central America,Latin America and the Caribbean,North America
56,Côte d’Ivoire,Western Africa,Sub-Saharan Africa,Africa
57,Croatia,Southern Europe,,Europe
58,Cuba,Caribbean,Latin America and the Caribbean,North America
59,Curaçao,Caribbean,Latin America and the Caribbean,North America
60,Cyprus,Western Asia,,Asia
61,Czechia,Eastern Europe,,Europe
62,Democratic People's Republic of Korea,Eastern Asia,,Asia
63,Democratic Republic of the Congo,Middle Africa,Sub-Saharan Africa,Africa
64,Denmark,Northern Europe,,Europe
65,Djibouti,Eastern Africa,Sub-Saharan Africa,Africa
66,Dominica,Caribbean,Latin America and the Caribbean,North America
67,Dominican Republic,Caribbean,Latin America and the Caribbean,North America
68,Ecuador,South America,Latin America and the Caribbean,South America
69,Egypt,Northern Africa,,Africa
70,El Salvador,Central America,Latin America and the Caribbean,North America
71,Equatorial Guinea,Middle Africa,Sub-Saharan Africa,Africa
72,Eritrea,Eastern Africa,Sub-Saharan Africa,Africa
73,Estonia,Northern Europe,,Europe
74,Eswatini,Southern Africa,Sub-Saharan Africa,Africa
75,Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa
76,Falkland Islands (Malvinas),South America,Latin America and the Caribbean,South America
77,Faroe Islands,Northern Europe,,Europe
78,Fiji,Melanesia,,Oceania
79,Finland,Northern Europe,,Europe
80,France,Western Europe,,Europe
81,French Guiana,South America,Latin America and the Caribbean,South America
82,French Polynesia,Polynesia,,Oceania
83,French Southern Territories,Eastern Africa,Sub-Saharan Africa,Africa
84,Gabon,Middle Africa,Sub-Saharan Africa,Africa
85,Gambia,Western Africa,Sub-Saharan Africa,Africa
86,Georgia,Western Asia,,Asia
87,Germany,Western Europe,,Europe
88,Ghana,Western Africa,Sub-Saharan Africa,Africa
89,Gibraltar,Southern Europe,,Europe
90,Greece,Southern Europe,,Europe
91,Greenland,Northern America,,North America
92,Grenada,Caribbean,Latin America and the Caribbean,North America
93,Guadeloupe,Caribbean,Latin America and the Caribbean,North America
94,Guam,Micronesia,,Oceania
95,Guatemala,Central America,Latin America and the Caribbean,North America
96,Guernsey,Northern Europe,Channel Islands,Europe
97,Guinea,Western Africa,Sub-Saharan Africa,Africa
98,Guinea-Bissau,Western Africa,Sub-Saharan Africa,Africa
99,Guyana,South America,Latin America and the Caribbean,South America
100,Haiti,Caribbean,Latin America and the Caribbean,North America
101,Heard Island and McDonald Islands,Australia and New Zealand,,Oceania
102,Holy See,Southern Europe,,Europe
103,Honduras,Central America,Latin America and the Caribbean,North America
104,Hungary,Eastern Europe,,Europe
105,Iceland,Northern Europe,,Europe
106,India,Southern Asia,,Asia
107,Indonesia,South-eastern Asia,,Asia
108,Iran (Islamic Republic of),Southern Asia,,Asia
109,Iraq,Western Asia,,Asia
110,Ireland,Northern Europe,,Europe
111,Isle of Man,Northern Europe,,Europe
112,Israel,Western Asia,,Asia
113,Italy,Southern Europe,,Europe
114,Jamaica,Caribbean,Latin America and the Caribbean,North America
115,Japan,Eastern Asia,,Asia
116,Jersey,Northern Europe,Channel Islands,Europe
117,Jordan,Western Asia,,Asia
118,Kazakhstan,Central Asia,,Asia
119,Kenya,Eastern Africa,Sub-Saharan Africa,Africa
120,Kiribati,Micronesia,,Oceania
121,Kuwait,Western Asia,,Asia
122,Kyrgyzstan,Central Asia,,Asia
123,Lao People's Democratic Republic,South-eastern Asia,,Asia
124,Latvia,Northern Europe,,Europe
125,Lebanon,Western Asia,,Asia
126,Lesotho,Southern Africa,Sub-Saharan Africa,Africa
127,Liberia,Western Africa,Sub-Saharan Africa,Africa
128,Libya,Northern Africa,,Africa
129,Liechtenstein,Western Europe,,Europe
130,Lithuania,Northern Europe,,Europe
131,Luxembourg,Western Europe,,Europe
132,Madagascar,Eastern Africa,Sub-Saharan Africa,Africa
133,Malawi,Eastern Africa,Sub-Saharan Africa,Africa
134,Malaysia,South-eastern Asia,,Asia
135,Maldives,Southern Asia,,Asia
136,Mali,Western Africa,Sub-Saharan Africa,Africa
137,Malta,Southern Europe,,Europe
138,Marshall Islands,Micronesia,,Oceania
139,Martinique,Caribbean,Latin America and the Caribbean,North America
140,Mauritania,Western Africa,Sub-Saharan Africa,Africa
141,Mauritius,Eastern Africa,Sub-Saharan Africa,Africa
142,Mayotte,Eastern Africa,Sub-Saharan Africa,Africa
143,Mexico,Central America,Latin America and the Caribbean,North America
144,Micronesia (Federated States of),Micronesia,,Oceania
145,Monaco,Western Europe,,Europe
146,Mongolia,Eastern Asia,,Asia
147,Montenegro,Southern Europe,,Europe
148,Montserrat,Caribbean,Latin America and the Caribbean,North America
149,Morocco,Northern Africa,,Africa
150,Mozambique,Eastern Africa,Sub-Saharan Africa,Africa
151,Myanmar,South-eastern Asia,,Asia
152,Namibia,Southern Africa,Sub-Saharan Africa,Africa
153,Nauru,Micronesia,,Oceania
154,Nepal,Southern Asia,,Asia
155,Netherlands,Western Europe,,Europe
156,New Caledonia,Melanesia,,Oceania
157,New Zealand,Australia and New Zealand,,Oceania
158,Nicaragua,Central America,Latin America and the Caribbean,North America
159,Niger,Western Africa,Sub-Saharan Africa,Africa
160,Nigeria,Western Africa,Sub-Saharan Africa,Africa
161,Niue,Polynesia,,Oceania
162,Norfolk Island,Australia and New Zealand,,Oceania
163,North Macedonia,Southern Europe,,Europe
164,Northern Mariana Islands,Micronesia,,Oceania
165,Norway,Northern Europe,,Europe
166,Oman,Western Asia,,Asia
167,Pakistan,Southern Asia,,Asia
168,Palau,Micronesia,,Oceania
169,Panama,Central America,Latin America and the Caribbean,North America
170,Papua New Guinea,Melanesia,,Oceania
171,Paraguay,South America,Latin America and the Caribbean,South America
172,Peru,South America,Latin America and the Caribbean,South America
173,Philippines,South-eastern Asia,,Asia
174,Pitcairn,Polynesia,,Oceania
175,Poland,Eastern Europe,,Europe
176,Portugal,Southern Europe,,Europe
177,Puerto Rico,Caribbean,Latin America and the Caribbean,North America
178,Qatar,Western Asia,,Asia
179,Republic of Korea,Eastern Asia,,Asia
180,Republic of Moldova,Eastern Europe,,Europe
181,Réunion,Eastern Africa,Sub-Saharan Africa,Africa
182,Romania,Eastern Europe,,Europe
183,Russian Federation,Eastern Europe,,Europe
184,Rwanda,Eastern Africa,Sub-Saharan Africa,Africa
185,Saint Barthélemy,Caribbean,Latin America and the Caribbean,North America
186,Saint Helena,Western Africa,Sub-Saharan Africa,Africa
187,Saint Kitts and Nevis,Caribbean,Latin America and the Caribbean,North America
188,Saint Lucia,Caribbean,Latin America and the Caribbean,North America
189,Saint Martin (French Part),Caribbean,Latin America and the Caribbean,North America
190,Saint Pierre and Miquelon,Northern America,,North America
191,Saint Vincent and the Grenadines,Caribbean,Latin America and the Caribbean,North America
192,Samoa,Polynesia,,Oceania
193,San Marino,Southern Europe,,Europe
194,Sao Tome and Principe,Middle Africa,Sub-Saharan Africa,Africa
195,Sark,Northern Europe,Channel Islands,Europe
196,Saudi Arabia,Western Asia,,Asia
197,Senegal,Western Africa,Sub-Saharan Africa,Africa
198,Serbia,Southern Europe,,Europe
199,Seychelles,Eastern Africa,Sub-Saharan Africa,Africa
200,Sierra Leone,Western Africa,Sub-Saharan Africa,Africa
201,Singapore,South-eastern Asia,,Asia
202,Sint Maarten (Dutch part),Caribbean,Latin America and the Caribbean,North America
203,Slovakia,Eastern Europe,,Europe
204,Slovenia,Southern Europe,,Europe
205,Solomon Islands,Melanesia,,Oceania
206,Somalia,Eastern Africa,Sub-Saharan Africa,Africa
207,South Africa,Southern Africa,Sub-Saharan Africa,Africa
208,South Georgia and the South Sandwich Islands,South America,Latin America and the Caribbean,South America
209,South Sudan,Eastern Africa,Sub-Saharan Africa,Africa
210,Spain,Southern Europe,,Europe
211,Sri Lanka,Southern Asia,,Asia
212,State of Palestine,Western Asia,,Asia
213,Sudan,Northern Africa,,Africa
214,Suriname,South America,Latin America and the Caribbean,South America
215,Svalbard and Jan Mayen Islands,Northern Europe,,Europe
216,Sweden,Northern Europe,,Europe
217,Switzerland,Western Europe,,Europe
218,Syrian Arab Republic,Western Asia,,Asia
219,Tajikistan,Central Asia,,Asia
220,Thailand,South-eastern Asia,,Asia
221,Timor-Leste,South-eastern Asia,,Asia
222,Togo,Western Africa,Sub-Saharan Africa,Africa
223,Tokelau,Polynesia,,Oceania
224,Tonga,Polynesia,,Oceania
225,Trinidad and Tobago,Caribbean,Latin America and the Caribbean,North America
226,Tunisia,Northern Africa,,Africa
227,Turkey,Western Asia,,Asia
228,Turkmenistan,Central Asia,,Asia
229,Turks and Caicos Islands,Caribbean,Latin America and the Caribbean,North America
230,Tuvalu,Polynesia,,Oceania
231,Uganda,Eastern Africa,Sub-Saharan Africa,Africa
232,Ukraine,Eastern Europe,,Europe
233,United Arab Emirates,Western Asia,,Asia
234,United Kingdom of Great Britain and Northern Ireland,Northern Europe,,Europe
235,United Republic of Tanzania,Eastern Africa,Sub-Saharan Africa,Africa
236,United States Minor Outlying Islands,Micronesia,,Oceania
237,United States of America,Northern America,,North America
238,United States Virgin Islands,Caribbean,Latin America and the Caribbean,North America
239,Uruguay,South America,Latin America and the Caribbean,South America
240,Uzbekistan,Central Asia,,Asia
241,Vanuatu,Melanesia,,Oceania
242,Venezuela (Bolivarian Republic of),South America,Latin America and the Caribbean,South America
243,Viet Nam,South-eastern Asia,,Asia
244,Wallis and Futuna Islands,Polynesia,,Oceania
245,Western Sahara,Northern Africa,,Africa
246,Yemen,Western Asia,,Asia
247,Zambia,Eastern Africa,Sub-Saharan Africa,Africa
248,Zimbabwe,Eastern Africa,Sub-Saharan Africa,Africa
